game_title,release_year,represent_me_url,representation_tags,review_reason
Ace Systems Go!,2019,https://representme.charity/projects/queer/database/title/ace-systems-go-,Asexual / aromantic; Polyamory; Bisexual / plurisexual; Other,no_explicit_named_character_pattern
Ace Trolley Pilot,2019,https://representme.charity/projects/queer/database/title/ace-trolley-pilot,Asexual / aromantic,no_explicit_named_character_pattern
Acetone,2018,https://representme.charity/projects/queer/database/title/acetone,Asexual / aromantic,no_explicit_named_character_pattern
Acetylene,2019,https://representme.charity/projects/queer/database/title/acetylene,Asexual / aromantic; Gay; Nonbinary / non-conforming; Other,no_explicit_named_character_pattern
Action! Regroup! Move!,2017,https://representme.charity/projects/queer/database/title/action-regroup-move-,Other,no_explicit_named_character_pattern
Adventures of Bertram Fiddle,2017,https://representme.charity/projects/queer/database/title/adventures-of-bertram-fiddle,Gay,no_explicit_named_character_pattern
Adventures with Anxiety!,2019,https://representme.charity/projects/queer/database/title/adventures-with-anxiety,Nonbinary / non-conforming,no_explicit_named_character_pattern
Aerannis,2015,https://representme.charity/projects/queer/database/title/aerannis,Trans woman,no_explicit_named_character_pattern
After the Bell Rings,2015,https://representme.charity/projects/queer/database/title/after-the-bell-rings,Lesbian,no_explicit_named_character_pattern
AGORA,2016,https://representme.charity/projects/queer/database/title/agora,Other,no_explicit_named_character_pattern
AIRIS,2017,https://representme.charity/projects/queer/database/title/airis,Lesbian; Nonbinary / non-conforming,no_explicit_named_character_pattern
Alexa's Wild Night,2017,https://representme.charity/projects/queer/database/title/alexa-s-wild-night,Lesbian,no_explicit_named_character_pattern
Alice in Stardom,2019,https://representme.charity/projects/queer/database/title/alice-in-stardom,Lesbian,no_explicit_named_character_pattern
All That I Touch,2017,https://representme.charity/projects/queer/database/title/all-that-i-touch,Other,no_explicit_named_character_pattern
All Tomorrow’s Parties,2016,https://representme.charity/projects/queer/database/title/all-tomorrow-s-parties,Nonbinary / non-conforming; Trans woman; Other,no_explicit_named_character_pattern
All Walls Must fall,2017,https://representme.charity/projects/queer/database/title/all-walls-must-fall,Gay; Other,no_explicit_named_character_pattern
Alone With You,2016,https://representme.charity/projects/queer/database/title/alone-with-you,Nonbinary / non-conforming; Playersexual,no_explicit_named_character_pattern
Always Sometimes Monsters,2014,https://representme.charity/projects/queer/database/title/always-sometimes-monsters,Playersexual,no_explicit_named_character_pattern
Always the Same Blue Sky,2015,https://representme.charity/projects/queer/database/title/always-the-same-blue-sky,Lesbian,no_explicit_named_character_pattern
Amaranto,2008,https://representme.charity/projects/queer/database/title/amaranto,Lesbian,no_explicit_named_character_pattern
Amber's Magic Shop,2017,https://representme.charity/projects/queer/database/title/amber-s-magic-shop,Playersexual; Lesbian,no_explicit_named_character_pattern
Amorous,2018,https://representme.charity/projects/queer/database/title/amorous,Playersexual,no_explicit_named_character_pattern
An Escort Mission,2015,https://representme.charity/projects/queer/database/title/an-escort-mission,Lesbian,no_explicit_named_character_pattern
Anaheim Girl's Love Story,2009,https://representme.charity/projects/queer/database/title/anaheim-girls-love-story,Lesbian,no_explicit_named_character_pattern
Analogue: A Hate Story (and Hate Plus),2012 – 2013,https://representme.charity/projects/queer/database/title/analogue-a-hate-story,Nonbinary / non-conforming; Playersexual; Bisexual / plurisexual,no_explicit_named_character_pattern
Ancestree,2017,https://representme.charity/projects/queer/database/title/ancestree,Bisexual / plurisexual; Gay; Lesbian; Polyamory,no_explicit_named_character_pattern
And Nothing Was Wrong,2019,https://representme.charity/projects/queer/database/title/and-nothing-was-wrong,Trans woman,no_explicit_named_character_pattern
Angels with Scaly Wings,2017,https://representme.charity/projects/queer/database/title/angels-with-scaly-wings,Bisexual / plurisexual; Nonbinary / non-conforming,no_explicit_named_character_pattern
Animal Boyfriend,2012,https://representme.charity/projects/queer/database/title/animal-boyfriend,Gay,no_explicit_named_character_pattern
Animal Crossing series,2001 – 2020,https://representme.charity/projects/queer/database/title/animal-crossing-series,Nonbinary / non-conforming; Cross-dressing; Playersexual; Gay,aggregate_page_requires_game_version
Animal Intern,2015,https://representme.charity/projects/queer/database/title/animal-intern,Nonbinary / non-conforming; Trans man; Trans woman,no_explicit_named_character_pattern
Animal Village,2016,https://representme.charity/projects/queer/database/title/animal-village,Nonbinary / non-conforming; Cross-dressing,no_explicit_named_character_pattern
Another Lost Phone: Laura's Story,2017,https://representme.charity/projects/queer/database/title/another-lost-phone-laura-s-story,Lesbian,no_explicit_named_character_pattern
Ante Holic,2018,https://representme.charity/projects/queer/database/title/ante-holic,Gay,no_explicit_named_character_pattern
Anthrotari,Not yet released,https://representme.charity/projects/queer/database/title/anthrotari,Other,no_explicit_named_character_pattern
Aoi Shiro,2008,https://representme.charity/projects/queer/database/title/aoi-shiro,Lesbian,no_explicit_named_character_pattern
Ape Escape series,1999 – 2010,https://representme.charity/projects/queer/database/title/ape-escape,Trans woman,aggregate_page_requires_game_version
Apex Legends,2019,https://representme.charity/projects/queer/database/title/apex-legends,Bisexual / plurisexual; Gay; Nonbinary / non-conforming,no_explicit_named_character_pattern
April Was a Fool,2015,https://representme.charity/projects/queer/database/title/april-was-a-fool,Lesbian; Playersexual,no_explicit_named_character_pattern
Arae: Requiem for a Lonely Spirit,2018,https://representme.charity/projects/queer/database/title/arae-requiem-for-a-lonely-spirit,Lesbian; Bisexual / plurisexual,no_explicit_named_character_pattern
Arcade Spirits,2018,https://representme.charity/projects/queer/database/title/arcade-spirits,Playersexual; Nonbinary / non-conforming; Asexual / aromantic; Gay; Bisexual / plurisexual,no_explicit_named_character_pattern
Arcana Heart 3,2015,https://representme.charity/projects/queer/database/title/arcana-heart-,Lesbian,no_explicit_named_character_pattern
Arcanum: Of Steamworks & Magick Obscura,2001,https://representme.charity/projects/queer/database/title/arcanum,Lesbian,no_explicit_named_character_pattern
Arena Circus,2016,https://representme.charity/projects/queer/database/title/arena-circus,Bisexual / plurisexual; Playersexual,no_explicit_named_character_pattern
Aria's Story,2018,https://representme.charity/projects/queer/database/title/aria-s-story,Lesbian,no_explicit_named_character_pattern
ARMBAR,2016,https://representme.charity/projects/queer/database/title/armbar,Lesbian; Trans woman; Bisexual / plurisexual,no_explicit_named_character_pattern
Artificial Academy,2014,https://representme.charity/projects/queer/database/title/artificial-academy,Playersexual; Asexual / aromantic; Bisexual / plurisexual; Gay; Lesbian; Trans woman; Trans man,no_explicit_named_character_pattern
As Cold As the Grave,2018,https://representme.charity/projects/queer/database/title/as-cold-as-the-grave,Asexual / aromantic; Bisexual / plurisexual; Lesbian; Playersexual,no_explicit_named_character_pattern
As We Know It,2019,https://representme.charity/projects/queer/database/title/as-we-know-it,Playersexual; Bisexual / plurisexual; Lesbian; Gay,no_explicit_named_character_pattern
Asphyxia,2015,https://representme.charity/projects/queer/database/title/asphyxia,Lesbian,no_explicit_named_character_pattern
Assassin's Creed series,2007 – 2015,https://representme.charity/projects/queer/database/title/assassins-creed-series,Bisexual / plurisexual; Gay; Lesbian; Playersexual; Trans man,aggregate_page_requires_game_version
Astoria: Fate's Kiss,2016,https://representme.charity/projects/queer/database/title/astoria,Bisexual / plurisexual; Asexual / aromantic; Gay; Lesbian; Nonbinary / non-conforming; Playersexual,no_explicit_named_character_pattern
Astronauts,2016,https://representme.charity/projects/queer/database/title/astronauts,Gay,no_explicit_named_character_pattern
At First Sight,2020,https://representme.charity/projects/queer/database/title/at-first-sight,Polyamory; Gay,no_explicit_named_character_pattern
At the Break of Dawn,2017,https://representme.charity/projects/queer/database/title/at-the-break-of-dawn,Lesbian,no_explicit_named_character_pattern
Atom Grrrl!!,2014,https://representme.charity/projects/queer/database/title/atom-grrrl,Lesbian,no_explicit_named_character_pattern
Attunement,2018,https://representme.charity/projects/queer/database/title/attunement,Asexual / aromantic,no_explicit_named_character_pattern
Autumn Leaves,2017,https://representme.charity/projects/queer/database/title/autumn-leaves,Gay; Nonbinary / non-conforming,no_explicit_named_character_pattern
Autumn Leaves II,2018,https://representme.charity/projects/queer/database/title/autumn-leaves-ii,Asexual / aromantic; Bisexual / plurisexual; Trans woman,no_explicit_named_character_pattern
Avalon Code,2009,https://representme.charity/projects/queer/database/title/avalon-code,Gay; Lesbian,no_explicit_named_character_pattern
Awkward,2018,https://representme.charity/projects/queer/database/title/awkward,Trans woman,no_explicit_named_character_pattern
Ayakashigami,2016,https://representme.charity/projects/queer/database/title/ayakashigami,Intersex,no_explicit_named_character_pattern
Back Door Man,2009,https://representme.charity/projects/queer/database/title/back-door-man,Bisexual / plurisexual; Gay,no_explicit_named_character_pattern
Backstage Pass,2014,https://representme.charity/projects/queer/database/title/backstage-pass,Asexual / aromantic,no_explicit_named_character_pattern
Bad Timing: A Romantic Comedy Fiasco Playset,2016,https://representme.charity/projects/queer/database/title/bad-timing-a-romantic-comedy-fiasco-playset,Playersexual,no_explicit_named_character_pattern
Bahamut Lagoon,1996,https://representme.charity/projects/queer/database/title/bahamut-lagoon,Playersexual; Gay,no_explicit_named_character_pattern
BAKED:MAGIC,2018,https://representme.charity/projects/queer/database/title/baked-magic,Lesbian,no_explicit_named_character_pattern
Baldur's Gate series,1998 – 2016,https://representme.charity/projects/queer/database/title/baldurs-gate-series,Playersexual; Bisexual / plurisexual; Trans woman,aggregate_page_requires_game_version
Baleen,2018,https://representme.charity/projects/queer/database/title/baleen,Asexual / aromantic,no_explicit_named_character_pattern
Banjo Tooie,2000,https://representme.charity/projects/queer/database/title/banjo-tooie,Cross-dressing; Trans woman; Gay,no_explicit_named_character_pattern
Barb,2017,https://representme.charity/projects/queer/database/title/barb,Trans woman,no_explicit_named_character_pattern
Bastard Bonds,2016,https://representme.charity/projects/queer/database/title/bastard-bonds,Playersexual; Gay,no_explicit_named_character_pattern
Baten Kaitos: Eternal Wings and the Lost Ocean,2006,https://representme.charity/projects/queer/database/title/baten-kaitos,Nonbinary / non-conforming,no_explicit_named_character_pattern
Battleborn,2016,https://representme.charity/projects/queer/database/title/battleborn,Asexual / aromantic; Bisexual / plurisexual; Gay; Lesbian; Other; Nonbinary / non-conforming; Trans man,no_explicit_named_character_pattern
Battletech,2018,https://representme.charity/projects/queer/database/title/battletech,Nonbinary / non-conforming,no_explicit_named_character_pattern
Be Witching,2015,https://representme.charity/projects/queer/database/title/be-witching,Other,no_explicit_named_character_pattern
Beach Bounce,2015,https://representme.charity/projects/queer/database/title/beach-bounce,Bisexual / plurisexual; Polyamory,no_explicit_named_character_pattern
Becoming Ourselves,2016,https://representme.charity/projects/queer/database/title/becoming-ourselves,Trans man; Trans woman,no_explicit_named_character_pattern
Bee-Side,2019,https://representme.charity/projects/queer/database/title/bee-side,Lesbian,no_explicit_named_character_pattern
Before they Leave,2017,https://representme.charity/projects/queer/database/title/before-they-leave,Lesbian,no_explicit_named_character_pattern
"Behind the Moon, Beyond the Rain",2016,https://representme.charity/projects/queer/database/title/behind-the-moon-beyond-the-rain,Lesbian,no_explicit_named_character_pattern
Behold the Kickmen,2017,https://representme.charity/projects/queer/database/title/behold-the-kickmen,Gay,no_explicit_named_character_pattern
Belladonna,2015,https://representme.charity/projects/queer/database/title/belladonna,Lesbian,no_explicit_named_character_pattern
Beloved,2011,https://representme.charity/projects/queer/database/title/beloved,Nonbinary / non-conforming,no_explicit_named_character_pattern
Benthic Love,2014,https://representme.charity/projects/queer/database/title/benthic-love,Playersexual,no_explicit_named_character_pattern
Besties,2015,https://representme.charity/projects/queer/database/title/besties,Lesbian,no_explicit_named_character_pattern
Beyond Eden,2017,https://representme.charity/projects/queer/database/title/beyond-eden,Gay,no_explicit_named_character_pattern
Big Bang Empire,2016,https://representme.charity/projects/queer/database/title/big-bang-empire,Playersexual,no_explicit_named_character_pattern
Bioshock series,2007 – 2013,https://representme.charity/projects/queer/database/title/bioshock,Trans woman; Trans man; Gay; Lesbian,aggregate_page_requires_game_version
Birdland,2015,https://representme.charity/projects/queer/database/title/birdland,Lesbian,no_explicit_named_character_pattern
Black Closet,2015,https://representme.charity/projects/queer/database/title/black-closet,Lesbian,no_explicit_named_character_pattern
Black Lillies,2017,https://representme.charity/projects/queer/database/title/black-lillies,Lesbian,no_explicit_named_character_pattern
Black Ring,2018,https://representme.charity/projects/queer/database/title/black-ring,Asexual / aromantic,no_explicit_named_character_pattern
Blackberry Honey,2017,https://representme.charity/projects/queer/database/title/blackberry-honey,Lesbian,no_explicit_named_character_pattern
Blackwell,2006 — 2014,https://representme.charity/projects/queer/database/title/blackwell,Bisexual / plurisexual; Gay,no_explicit_named_character_pattern
_Blank,2016,https://representme.charity/projects/queer/database/title/blank,Other,no_explicit_named_character_pattern
Blank Dream,2015,https://representme.charity/projects/queer/database/title/blank-dream,Lesbian,no_explicit_named_character_pattern
BlazBlue,2008 – 2015,https://representme.charity/projects/queer/database/title/blazblue,Gay; Lesbian,no_explicit_named_character_pattern
Blazing Dragons,1996,https://representme.charity/projects/queer/database/title/blazing-dragons,Gay,no_explicit_named_character_pattern
Blind Love,2015,https://representme.charity/projects/queer/database/title/blind-love,Gay,no_explicit_named_character_pattern
Blind Men,2017,https://representme.charity/projects/queer/database/title/blind-men,Gay,no_explicit_named_character_pattern
Bliss Stage,2011,https://representme.charity/projects/queer/database/title/bliss-stage,Other,no_explicit_named_character_pattern
Bloody Roar,1997,https://representme.charity/projects/queer/database/title/bloody-roar,Cross-dressing; Nonbinary / non-conforming; Other,no_explicit_named_character_pattern
Blooming Nightshade,2017,https://representme.charity/projects/queer/database/title/blooming-nightshade,Lesbian,no_explicit_named_character_pattern
Blooming Relations,2017,https://representme.charity/projects/queer/database/title/blooming-relations,Lesbian,no_explicit_named_character_pattern
Blossoming Love,2015,https://representme.charity/projects/queer/database/title/blossoming-love,Lesbian,no_explicit_named_character_pattern
Blossoms Bloom Brightest,2016,https://representme.charity/projects/queer/database/title/blossoms-bloom-brightest,Lesbian,no_explicit_named_character_pattern
Blue Lacuna,2010,https://representme.charity/projects/queer/database/title/blue-lacuna,Other,no_explicit_named_character_pattern
Blue Planet,1997,https://representme.charity/projects/queer/database/title/blue-planet,Other,no_explicit_named_character_pattern
Blue Reflection,2017,https://representme.charity/projects/queer/database/title/blue-reflection,Lesbian,no_explicit_named_character_pattern
Blue Rose,2013,https://representme.charity/projects/queer/database/title/blue-rose,Playersexual; Lesbian,no_explicit_named_character_pattern
Blue Rose,2005,https://representme.charity/projects/queer/database/title/blue-rose-ttrpg,Gay; Lesbian; Polyamory,no_explicit_named_character_pattern
BlueberryNOVA,2018,https://representme.charity/projects/queer/database/title/blueberrynova,Lesbian,no_explicit_named_character_pattern
Booty Calls: Men at Work,2019,https://representme.charity/projects/queer/database/title/booty-calls-men-at-work,Gay,no_explicit_named_character_pattern
Border of her Heart,2018,https://representme.charity/projects/queer/database/title/border-of-her-heart,Gay,no_explicit_named_character_pattern
Borderlands franchise,2009 – 2015,https://representme.charity/projects/queer/database/title/borderlands,Asexual / aromantic; Bisexual / plurisexual; Gay; Lesbian; Nonbinary / non-conforming,aggregate_page_requires_game_version
Bottoms Up,2018,https://representme.charity/projects/queer/database/title/bottoms-up,Bisexual / plurisexual; Cross-dressing; Gay; Lesbian; Nonbinary / non-conforming; Trans woman,no_explicit_named_character_pattern
Boy Crush,2017,https://representme.charity/projects/queer/database/title/boy-crush,Gay,no_explicit_named_character_pattern
Boyfriend Dungeon,Not yet released,https://representme.charity/projects/queer/database/title/boyfriend-dungeon,Playersexual; Nonbinary / non-conforming,no_explicit_named_character_pattern
