reason,reference_label,parent_game_titles,parent_release_years,reference_page_title,category_names,reference_url
group_or_non_character_subject,LGBT NPCs in LCPD Database,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,LGBT NPCs in LCPD Database in Grand Theft Auto IV,2000s; Cross-dressing; Gay; Gay (explicit); Gay (implicit); Gender non-conforming; Queer Men; Transgender; Transgender (implicit),https://lgbtqgamearchive.com/2015/09/12/lgbt-npcs-in-lcpd-database-in-grand-theft-auto-iv
no_explicit_or_implicit_identity_category,Mentions of homosexuality,Fallout; Fallout 2; Fallout: Brotherhood of Steel; Fallout 3; Fallout: New Vegas; Fallout 4,1997; 1998; 2004; 2008; 2010; 2015,Mentions of homosexuality in Fallout: New Vegas,2010s; Characters; Mentions; Mentions (explicit),https://lgbtqgamearchive.com/2015/12/02/mentions-of-homosexuality-in-fallout-new-vegas
group_or_non_character_subject,OG Loc Mission,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,OG Loc Mission in Grand Theft Auto: San Andreas,2000s; Gay; Gay (implicit); Homophobia; Queer Men,https://lgbtqgamearchive.com/2015/09/10/og-loc-mission-in-grand-theft-auto-san-andreas
evidence_registered_in_other_unit,Sexuality,Fallout; Fallout 2; Fallout: Brotherhood of Steel; Fallout 3; Fallout: New Vegas; Fallout 4,1997; 1998; 2004; 2008; 2010; 2015,Sexuality in Fallout Series,1990s; 2000s; 2010s; Bisexual; Bisexual (implicit); Characters; Optional Relationship; Queer Men; Queer Women; Relationships/Romance/Sex; Sex Workers and Bisexuality,https://lgbtqgamearchive.com/2015/11/24/sexuality-in-fallout-series
group_or_non_character_subject,Transgender Sex Workers,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,Transgender Sex Workers in Grand Theft Auto V,2010s; Transgender; Transgender (explicit); Transphobia,https://lgbtqgamearchive.com/2015/09/18/transgender-sex-workers-in-grand-theft-auto-v
no_explicit_or_implicit_identity_category,Kyouichi Houraiji,Tokyo Majin Gakuen: Ken Kaze Tobari,1998,Kyouichi Houraiji,1990s; Characters; Games by Decade; Optional Relationship; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2018/08/27/kyouichi-houraiji
no_explicit_or_implicit_identity_category,Moroha Kirishima,Tokyo Majin Gakuen: Ken Kaze Tobari,1998,Moroha Kirishima,1990s; Characters; Games by Decade; Optional Relationship; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2018/08/27/moroha-kirishima
no_explicit_or_implicit_identity_category,Tatsuma Hiyuu,Tokyo Majin Gakuen: Ken Kaze Tobari,1998,Tatsuma Hiyuu,1990s; Characters; Games by Decade; Optional Relationship; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2018/08/27/tatsuma-hiyuu
no_explicit_or_implicit_identity_category,Bramimond,Fire Emblem: Thracia 776; Fire Emblem: Rekka no Ken; Fire Emblem: Sacred Stones; Fire Emblem: Path of Radiance; Fire Emblem: Radiant Dawn; Fire Emblem: Awakening; Fire Emblem Fates; Fire Emblem Echoes: Shadows of Valentia; Fire Emblem Heroes; Fire Emblem: Three Houses; Fire Emblem Three Houses: Cindered Shadows,1999; 2003; 2004; 2005; 2007; 2012; 2015; 2017; 2017; 2019; 2020,Bramimond in Fire Emblem: The Blazing Blade,2000s; Agender; Characters; Games by Decade,https://lgbtqgamearchive.com/?p=12600
no_explicit_or_implicit_identity_category,Cherry,Fighter Destiny 2,1999,Cherry in Fighters Destiny,1990s; Changed in localization; Characters; Cross-dressing; Gender non-conforming; Playable Character,https://lgbtqgamearchive.com/2016/05/10/cherry-in-fighters-destiny
group_or_non_character_subject,Gay Jokes and Queerness,Fire Emblem: Thracia 776; Fire Emblem: Rekka no Ken; Fire Emblem: Sacred Stones; Fire Emblem: Path of Radiance; Fire Emblem: Radiant Dawn; Fire Emblem: Awakening; Fire Emblem Fates; Fire Emblem Echoes: Shadows of Valentia; Fire Emblem Heroes; Fire Emblem: Three Houses; Fire Emblem Three Houses: Cindered Shadows,1999; 2003; 2004; 2005; 2007; 2012; 2015; 2017; 2017; 2019; 2020,Gay Jokes and Queerness in Fire Emblem Awakening,2010s; Add on content; Bisexual; Bisexual (explicit); Bisexual (implicit); Changed in localization; Characters; Games by Decade; Gay; Gay (implicit); Gender non-conforming; Homophobia; Homophobia/Transphobia; Intertextual Reference; Playable Character; Queer Men; Queer Women; Transgender; Transgender (implicit); Transphobia,https://lgbtqgamearchive.com/?p=12622
character_game_already_registered,Jill and Mist,Fire Emblem: Thracia 776; Fire Emblem: Rekka no Ken; Fire Emblem: Sacred Stones; Fire Emblem: Path of Radiance; Fire Emblem: Radiant Dawn; Fire Emblem: Awakening; Fire Emblem Fates; Fire Emblem Echoes: Shadows of Valentia; Fire Emblem Heroes; Fire Emblem: Three Houses; Fire Emblem Three Houses: Cindered Shadows,1999; 2003; 2004; 2005; 2007; 2012; 2015; 2017; 2017; 2019; 2020,Jill and Mist in Fire Emblem: Path of Radiance,2000s; Characters; Games by Decade; Lesbian; Lesbian (implicit); Optional Relationship; Queer Women; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2019/01/31/jill-and-mist-in-fire-emblem-path-of-radiance-and-fire-emblem-radiant-dawn
character_game_already_registered,Jill and Mist,Fire Emblem: Thracia 776; Fire Emblem: Rekka no Ken; Fire Emblem: Sacred Stones; Fire Emblem: Path of Radiance; Fire Emblem: Radiant Dawn; Fire Emblem: Awakening; Fire Emblem Fates; Fire Emblem Echoes: Shadows of Valentia; Fire Emblem Heroes; Fire Emblem: Three Houses; Fire Emblem Three Houses: Cindered Shadows,1999; 2003; 2004; 2005; 2007; 2012; 2015; 2017; 2017; 2019; 2020,Jill and Mist in Fire Emblem: Path of Radiance,2000s; Characters; Games by Decade; Lesbian; Lesbian (implicit); Optional Relationship; Queer Women; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2019/01/31/jill-and-mist-in-fire-emblem-path-of-radiance-and-fire-emblem-radiant-dawn
