character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url
1,Ellie,The Last of Us Part II,2020,Naughty Dog,,AAA,Action-adventure,protagonist,playable,female,lesbian,sexual_orientation,explicit_in_game,confirmed,no,none,Relationship with Dina shown in narrative cutscenes,Explicit lesbian protagonist with central romantic storyline,/images/ellie.jpg,Naughty Dog / Sony Interactive Entertainment,
2,Lev,The Last of Us Part II,2020,Naughty Dog,,AAA,Action-adventure,supporting_character,non_playable,trans_man,none,gender_identity,explicit_in_game,confirmed,Race; Ethnicity; Asian; Religion; Person of Color,Trans asian character within a religious community,Dialogue referencing identity and deadnaming,Identity central to narrative conflict and character arc,,,
3,Tyler Ronan,Tell Me Why,2020,Dontnod Entertainment,,AA,Narrative adventure,protagonist,playable,trans_man,gay,gender_identity; sexual_orientation,explicit_in_game,confirmed,no,Gay Trans character with socio-economic and family context,Narrative and character backstory,Highly explicit and integrated trans representation,,,
4,Michael,Tell Me Why,2020,Dontnod Entertainment,,AA,Narrative adventure,supporting_character,non_playable,male,gay,sexual_orientation,explicit_in_game,confirmed,Race; Ethnicity; Indigenous or Two-Spirit; Person of Color,Gay indigenous man,Narrative and character backstory,Highly explicit and integrated trans representation,,,
5,Bloodhound,Apex Legends,2019,Respawn Entertainment,Electronic Arts,AAA,Battle royale; first-person shooter,none,playable,Non-binary,none,gender_identity,not_explicit_in_game,confirmed,no,none,"according to their official bio, goes by they/them pronouns. The bio says the following: Bloodhound is known across the Outlands as one of the greatest game hunters the Frontier has ever seen - and that's about all anyone knows. Their identity is a mystery wrapped in layers of rumors: they are fabulously wealthy, a bloodthirsty murderer, a Goliath whisperer, a former slave, half bat, and a dozen other things depending on who's doing the whispering.",,,,
6,Gibraltar,Apex Legends,2019,Respawn Entertainment,Electronic Arts,AAA,Battle royale; first-person shooter,none,playable,male,gay,sexual_orientation,not_explicit_in_game,not confirmed,Race; Person of color; Black,Person of color,,,,,
7,Chloe Price,Life is Strange,2015,Dontnod Entertainment,Square Enix; Feral Interactive; Black Wing Foundation,AAA; Indie,Narrative adventure,deuteragonist,playable,female,lesbian,sexual_orientation,explicit_in_game,confirmed,no,none,"Chloe Price is the deuteragonist of Life is Strange. She is also the playable protagonist of Life is Strange: Before the Storm and is mentioned in Life is Strange 2. In both Life is Strange and Life is Strange: Before the Storm, she has possible romantic relationships with another female character. In Life is Strange, Max can romance Chloe, and in Life is Strange: Before the Storm, Chloe can romance Rachel. Although these relationships are determined by the player's choices, there are various parts of both games that hint at Chloe feeling romantic feelings towards Max and Rachel.",,,,
